what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1393554666262
started,bundle,com.collabnet.subversion.merge,3.0.5,"com.collabnet.subversion.merge",1393554666263
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1393554666264
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1393554666264
started,bundle,org.tigris.subversion.subclipse.core,1.8.4,"org.tigris.subversion.subclipse.core",1393554666265
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1393554666265
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1393554666265
started,bundle,org.tigris.subversion.subclipse.ui,1.8.4,"org.tigris.subversion.subclipse.ui",1393554666267
os,sysinfo,,,"win32",1393554666270
arch,sysinfo,,,"x86_64",1393554666270
ws,sysinfo,,,"win32",1393554666270
locale,sysinfo,,,"en_GB",1393554666270
processors,sysinfo,,,"4",1393554666270
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393554666270
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1393554666270
java.specification.name,sysinfo,,,"Java Platform API Specification",1393554666270
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393554666270
java.specification.version,sysinfo,,,"1.7",1393554666270
java.vendor,sysinfo,,,"Oracle Corporation",1393554666270
java.version,sysinfo,,,"1.7.0_05",1393554666270
java.vm.info,sysinfo,,,"mixed mode",1393554666270
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1393554666270
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393554666270
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393554666270
java.vm.specification.version,sysinfo,,,"1.7",1393554666270
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393554666270
java.vm.version,sysinfo,,,"23.1-b03",1393554666270
